Date,Time,CPU Package [°C],CPU IA Cores [°C],CPU GT Cores (Graphics) [°C],VR VCC Temperature (SVID) [°C],CPU Package Power [W],IA Cores Power [W],System Agent Power [W],Rest-of-Chip Power [W],PL1 Power Limit (Static) [W],PL2 Power Limit (Static) [W],VR VCC Power (SVID POUT) [W],GPU Temperature [°C],GPU Hot Spot Temperature [°C],GPU Thermal Limit [°C],GPU Power [W],GPU Rail Powers (avg) [W],GPU Core (NVVDD) Input Power (sum) [W],GPU PCIe +12V Input Power [W],GPU 8-pin #1 Input Power [W],GPU Misc0 Input Power [W],GPU Core (NVVDD2) Input Power (sum) [W],GPU Input PP Source Power (sum) [W],GPU Core (NVVDD) Output Power [W],GPU Core (NVVDD) Output Power [W],GPU Core Load [%],GPU Memory Controller Load [%],GPU Video Engine Load [%],GPU Bus Load [%],GPU Memory Usage [%],GPU D3D Usages (avg) [%],GPU D3D Usage [%],GPU Video Decode 0 Usage [%],GPU Video Encode 0 Usage [%],GPU VR Usage [%]
26.3.2025,41:58.3,39,39,38,38,42.487,33.685,6.373,1.428,202,241,40,43.5,50.7,83,13.729,5.818,9.402,2.779,10.841,5.194,8.467,5.16,1.104,3.597,0,8,0,0,8.4,0,0.1,0,0,0
26.3.2025,41:59.3,39,39,38,38,42.657,33.836,6.384,1.448,202,241,40,43.5,50.7,83,13.643,5.826,9.242,2.864,10.828,5.278,8.32,5.384,1.108,3.581,0,11,0,0,8.4,0,0,0,0,0
26.3.2025,42:00.3,39,39,38,38,42.183,33.366,6.387,1.406,202,241,40,43.5,50.7,83,13.796,5.798,8.948,2.887,10.777,5.397,8.062,5.608,1.109,3.594,0,5,0,0,8.4,0,0,0,0,0
26.3.2025,42:01.3,39,39,38,38,42.611,33.802,6.385,1.425,202,241,40,43.5,50.7,83,13.731,5.768,9.022,2.839,10.704,5.289,8.124,5.433,1.109,3.622,0,5,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:02.3,39,39,38,38,42.607,33.771,6.401,1.429,202,241,40,43.5,50.7,83,13.668,5.777,9.386,2.755,10.756,5.121,8.451,5.08,1.106,3.564,0,8,0,0,8.4,0,0,0,0,0
26.3.2025,42:03.3,39,39,38,38,42.328,33.49,6.409,1.428,202,241,40,43.5,50.7,83,13.608,5.707,9.294,2.706,10.575,4.989,8.361,4.921,1.11,3.703,0,4,0,0,8.4,0,0,0,0,0
26.3.2025,42:04.3,39,39,38,38,42.523,33.677,6.408,1.431,202,241,40,43.5,50.7,83,13.577,5.738,9.302,2.755,10.611,5.025,8.368,5.003,1.106,3.731,0,4,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:05.3,39,39,38,38,42.882,34.04,6.411,1.428,202,241,40,43.5,50.7,83,13.587,5.691,9.357,2.633,10.551,4.941,8.421,4.782,1.108,3.736,0,14,0,0,8.4,0,0,0,0,0
26.3.2025,42:06.3,39,39,38,38,42.546,33.71,6.407,1.428,202,241,40,43.5,50.7,83,13.553,5.763,9.352,2.756,10.688,5.074,8.416,5.029,1.108,3.681,0,4,0,0,8.4,0,0,0,0,0
26.3.2025,42:07.3,39,39,38,38,42.496,33.649,6.412,1.429,202,241,40,43.5,50.7,83,13.557,5.661,9.051,2.753,10.461,5.024,8.142,5.081,1.1,3.676,0,13,0,0,8.4,0,0.1,0,0,0
